<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX;D;231115;000000;20076;20556;19719;20462;18582
MOEX;D;231116;000000;20477;20770;20311;20449;8174
MOEX;D;231117;000000;20440;20530;20245;20459;3907
MOEX;D;231120;000000;20438;20541;20323;20390;2659
MOEX;D;231121;000000;20344;20845;20333;20805;6171
MOEX;D;231122;000000;20797;21009;20795;20952;6470
MOEX;D;231123;000000;20948;20952;20681;20767;2903
MOEX;D;231124;000000;20770;20939;20615;20763;5013
MOEX;D;231127;000000;20764;21196;20701;21060;7148
MOEX;D;231128;000000;21060;21148;20223;20405;22110
MOEX;D;231129;000000;20468;20544;20250;20329;3837
MOEX;D;231130;000000;20272;20318;20004;20109;5255
MOEX;D;231201;000000;20160;20239;19941;20093;2785
MOEX;D;231204;000000;20093;20388;19769;20197;6928
MOEX;D;231205;000000;20250;20495;20005;20450;3824
MOEX;D;231206;000000;20450;20591;19950;19986;5853
MOEX;D;231207;000000;19986;20200;19573;19857;6735
MOEX;D;231208;000000;19880;20113;19841;19988;2326
MOEX;D;231211;000000;19960;20084;18377;19097;12198
MOEX;D;231212;000000;19067;19199;18593;18700;9286
MOEX;D;231213;000000;18709;19000;18553;18858;4063
MOEX;D;231214;000000;18860;19436;18860;19245;7439
MOEX;D;231215;000000;19231;19725;19175;19501;5892
MOEX;D;231218;000000;19556;20335;19500;20216;4632
MOEX;D;231219;000000;20310;20640;19836;20099;5844
MOEX;D;231220;000000;20876;21106;20729;20793;3947
MOEX;D;231221;000000;20800;20860;20166;20200;4559
MOEX;D;231222;000000;20169;20455;20042;20212;5962
MOEX;D;231225;000000;20190;20348;19919;20029;6148
MOEX;D;231226;000000;20069;20120;19854;20006;2873
MOEX;D;231227;000000;20006;20060;19734;19791;2412
MOEX;D;231228;000000;19785;19872;19524;19692;2599
MOEX;D;231229;000000;19768;19844;19546;19700;1743
MOEX;D;240103;000000;19701;20297;19701;20224;4472
MOEX;D;240104;000000;20224;20304;19995;20047;3282
MOEX;D;240105;000000;20027;20113;19884;19975;1434
MOEX;D;240108;000000;19991;20068;19923;20018;2042
MOEX;D;240109;000000;20010;20163;19960;20107;2099
MOEX;D;240110;000000;20128;20189;19924;19986;2523
MOEX;D;240111;000000;20001;20046;19766;19892;2363
MOEX;D;240112;000000;19881;19965;19800;19865;2037
MOEX;D;240115;000000;19872;20052;19872;20052;2397
MOEX;D;240116;000000;20051;20068;19679;19769;4079
MOEX;D;240117;000000;19754;19903;19712;19850;2817
MOEX;D;240118;000000;19851;20133;19814;19925;3515
MOEX;D;240119;000000;19995;20020;19756;19855;1994
MOEX;D;240122;000000;19892;20495;19804;20460;5759
MOEX;D;240123;000000;20460;20690;20210;20318;6224
MOEX;D;240124;000000;20318;20454;20144;20400;2102
MOEX;D;240125;000000;20410;20498;20082;20228;2476
MOEX;D;240126;000000;20252;20398;20133;20299;1837
MOEX;D;240129;000000;20336;21478;20336;20944;11867
MOEX;D;240130;000000;20806;21047;20750;20820;4321
MOEX;D;240131;000000;20820;20932;20588;20785;3270
MOEX;D;240201;000000;20857;21027;20753;20933;1877
MOEX;D;240202;000000;20985;21052;20635;20719;4544
MOEX;D;240205;000000;20720;20826;20403;20491;3092
MOEX;D;240206;000000;20535;20647;20401;20540;2903
MOEX;D;240207;000000;20489;20842;20389;20721;3831
MOEX;D;240208;000000;20767;20767;20011;20230;6013
MOEX;D;240209;000000;20229;20471;20090;20266;2671
MOEX;D;240212;000000;20262;20383;20140;20270;3037
MOEX;D;240213;000000;20319;20519;20280;20369;3565
MOEX;D;240214;000000;20381;20480;20175;20183;2098
MOEX;D;240215;000000;20264;20281;20043;20168;2145
MOEX;D;240216;000000;20236;20276;19818;19865;4377
MOEX;D;240219;000000;19808;20191;19751;19998;4518
MOEX;D;240220;000000;19941;19996;19121;19233;4304
MOEX;D;240221;000000;19200;19482;19012;19285;18797
MOEX;D;240222;000000;19264;19395;18600;19350;15396
MOEX;D;240226;000000;19828;20300;19706;19969;15867
MOEX;D;240227;000000;19997;20437;19913;20149;7220
MOEX;D;240228;000000;20155;20299;20033;20160;3528
MOEX;D;240229;000000;20183;20319;20004;20182;3373
MOEX;D;240301;000000;20165;20250;20034;20145;2018
MOEX;D;240304;000000;20200;20325;20100;20251;3722
MOEX;D;240305;000000;20327;20846;20044;20816;14083
MOEX;D;240306;000000;20816;20865;20621;20676;4189
MOEX;D;240307;000000;20667;20996;20582;20996;3345
MOEX;D;240311;000000;20996;21170;20829;20944;3122
MOEX;D;240312;000000;20990;20994;20729;20969;2866
MOEX;D;240313;000000;20927;20966;20826;20875;1523
MOEX;D;240314;000000;20850;20879;20690;20845;3330
MOEX;D;240315;000000;20761;21169;20732;21122;3402
MOEX;D;240318;000000;21120;21170;20833;20912;2513
MOEX;D;240319;000000;20906;21000;20758;20900;3143
MOEX;D;240320;000000;20350;20750;20263;20750;2899
MOEX;D;240321;000000;20777;20962;20653;20740;2078
MOEX;D;240322;000000;20791;21160;20501;20629;7869
MOEX;D;240325;000000;20700;20928;20543;20861;3066
MOEX;D;240326;000000;20905;21109;20752;20920;3134
MOEX;D;240327;000000;20970;21350;20904;21340;3197
MOEX;D;240328;000000;21327;21630;21080;21209;3074
MOEX;D;240329;000000;21222;21586;21104;21479;2962
MOEX;D;240401;000000;21522;21702;21189;21691;3384
MOEX;D;240402;000000;21690;22100;21602;22069;3371
MOEX;D;240403;000000;22067;22147;21940;22008;1894
MOEX;D;240404;000000;22007;22010;21756;21817;1868
MOEX;D;240405;000000;21723;22295;21723;22204;2344
MOEX;D;240408;000000;22272;22495;22078;22161;3177
MOEX;D;240409;000000;22198;22405;22040;22245;5234
