<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
Si;D;230508;000000;76449;77610;75566;77276;763645
Si;D;230510;000000;77257;77275;75205;75289;1353899
Si;D;230511;000000;75291;77687;74736;77423;2284511
Si;D;230512;000000;77367;78129;76530;77699;1372044
Si;D;230515;000000;77720;79477;77720;79234;1212820
Si;D;230516;000000;79221;80330;79221;80330;1278732
Si;D;230517;000000;80330;80682;79006;79105;1455318
Si;D;230518;000000;79122;80200;78827;80077;1407010
Si;D;230519;000000;80065;80082;79220;79570;824836
Si;D;230522;000000;79574;79995;79275;79745;846144
Si;D;230523;000000;79752;80293;79441;80048;1011864
Si;D;230524;000000;80032;80250;79582;79980;694527
Si;D;230525;000000;80017;80220;79512;80074;850172
Si;D;230526;000000;80042;80096;79581;79934;658941
Si;D;230529;000000;79934;80932;79731;80848;1082581
Si;D;230530;000000;80856;81323;80088;80731;1094854
Si;D;230531;000000;80747;81180;80540;80735;1002344
Si;D;230601;000000;80738;81030;80180;80531;993678
Si;D;230602;000000;80529;81470;80346;81431;1016842
Si;D;230605;000000;81437;81734;80480;80749;901493
Si;D;230606;000000;80750;81573;80635;81375;788905
Si;D;230607;000000;81375;81990;81128;81884;846180
Si;D;230608;000000;81883;82769;81751;82685;873135
Si;D;230609;000000;82693;83010;82150;82462;910174
Si;D;230613;000000;82516;84675;82516;84541;1705968
Si;D;230614;000000;83645;84166;82820;83633;651300
Si;D;230615;000000;83632;83877;82756;83205;1213237
Si;D;230616;000000;83222;83895;82809;83825;997870
Si;D;230619;000000;83840;84132;83254;83640;889227
Si;D;230620;000000;83666;84577;83462;84416;919848
Si;D;230621;000000;84405;84405;82627;82833;1802491
Si;D;230622;000000;82835;83476;82256;83189;1073910
Si;D;230623;000000;83199;84757;82672;84748;1294508
Si;D;230626;000000;84750;85100;83343;84187;1650666
Si;D;230627;000000;84180;84570;83687;84321;829207
Si;D;230628;000000;84318;86030;84167;85684;1315944
Si;D;230629;000000;85696;87399;85536;87199;1451811
Si;D;230630;000000;87174;88963;86680;88778;2783713
Si;D;230703;000000;88732;88732;86820;87238;1628508
Si;D;230704;000000;87253;88862;86949;87841;1894491
Si;D;230705;000000;87876;89200;87683;89040;1805509
Si;D;230706;000000;89040;91394;89040;89950;2342211
Si;D;230707;000000;89925;90478;89356;90089;979830
Si;D;230710;000000;90100;90436;88507;88709;1119729
Si;D;230711;000000;88679;89398;88098;88429;1078969
Si;D;230712;000000;88417;90040;88409;89980;1456249
Si;D;230713;000000;90071;90270;88450;88841;1230943
Si;D;230714;000000;88825;89676;88588;89490;1177044
Si;D;230717;000000;89643;90525;89261;90371;914583
Si;D;230718;000000;90299;90299;89694;89890;776298
Si;D;230719;000000;90025;90738;89911;90289;824607
Si;D;230720;000000;90139;90286;89270;89607;1294706
Si;D;230721;000000;89619;90379;88881;90245;1028327
Si;D;230724;000000;90218;90258;89302;89360;712299
Si;D;230725;000000;89303;89680;89020;89442;666516
Si;D;230726;000000;89517;89590;89112;89320;496389
