<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
Eu;D;240422;000000;100846;100936;100444;100654;50321
Eu;D;240423;000000;100685;101052;100376;100694;90766
Eu;D;240424;000000;100718;100755;99983;100122;49914
Eu;D;240425;000000;100268;100659;99903;100262;73437
Eu;D;240426;000000;100253;100736;99040;99442;130488
Eu;D;240427;000000;99496;100346;99067;100105;50438
Eu;D;240429;000000;100346;101097;100346;100553;67851
Eu;D;240430;000000;100700;101130;99982;100074;116773
Eu;D;240502;000000;100171;100471;99318;99841;108582
Eu;D;240503;000000;99820;100259;99467;99850;100500
Eu;D;240506;000000;99926;100146;99236;99706;40343
Eu;D;240507;000000;99662;99997;99162;99618;45346
Eu;D;240508;000000;99660;100256;99418;99900;53033
Eu;D;240510;000000;100064;100694;99969;100244;32108
Eu;D;240513;000000;100350;100457;99422;99537;57757
Eu;D;240514;000000;99591;100093;99353;99924;51536
Eu;D;240515;000000;99914;100054;99470;99910;60528
Eu;D;240516;000000;99882;100012;99558;99690;40975
Eu;D;240517;000000;99750;99860;99440;99622;77126
Eu;D;240520;000000;99769;99937;99043;99441;58355
Eu;D;240521;000000;99370;99370;98500;98602;82704
Eu;D;240522;000000;98640;98798;98309;98623;63056
Eu;D;240523;000000;98640;98777;97941;97972;60544
Eu;D;240524;000000;98001;98048;97481;97890;82352
Eu;D;240527;000000;97846;97881;96585;96799;85021
Eu;D;240528;000000;96852;97407;96748;97020;99225
Eu;D;240529;000000;97025;98271;97017;97583;94303
Eu;D;240530;000000;97667;98359;97637;98301;45904
Eu;D;240531;000000;98370;98626;97812;97913;42783
Eu;D;240603;000000;98023;98432;96838;97599;69832
Eu;D;240604;000000;97623;97866;96680;97011;55203
Eu;D;240605;000000;97121;97277;96497;96770;31642
Eu;D;240606;000000;96922;97499;96655;96935;55401
Eu;D;240607;000000;96981;97288;96373;96480;73782
Eu;D;240610;000000;96488;96499;95261;95522;52779
Eu;D;240611;000000;95674;96275;95525;95995;71989
Eu;D;240613;000000;96110;97113;90000;94643;220740
Eu;D;240614;000000;94680;95155;94323;95040;162908
Eu;D;240617;000000;95046;95121;93813;94060;296762
Eu;D;240618;000000;94021;94947;91939;92162;248902
Eu;D;240619;000000;91840;92143;88299;88450;113182
Eu;D;240620;000000;88404;93858;87884;93579;111773
Eu;D;240621;000000;93542;95100;91434;92983;76537
Eu;D;240624;000000;93024;94059;91189;91544;62760
Eu;D;240625;000000;91500;93378;91198;93199;89257
Eu;D;240626;000000;93132;93686;91540;91627;67872
Eu;D;240627;000000;91686;92619;90105;91739;109461
Eu;D;240628;000000;91851;93205;91218;93061;141076
Eu;D;240701;000000;93198;94059;93198;93724;49045
Eu;D;240702;000000;93723;94581;93171;93540;65646
Eu;D;240703;000000;93572;95200;93373;95115;74990
Eu;D;240704;000000;95005;96425;95002;96257;45612
Eu;D;240705;000000;96285;96467;94550;95840;79189
Eu;D;240708;000000;95835;96248;95050;95126;55052
Eu;D;240709;000000;95221;95523;94100;94514;41846
Eu;D;240710;000000;94546;95741;94404;95607;49669
Eu;D;240711;000000;95592;96050;95302;95566;50054
Eu;D;240712;000000;95575;96215;95467;95936;42203
Eu;D;240715;000000;95936;96650;95206;96484;60502
Eu;D;240716;000000;96400;96566;95668;96071;34070
Eu;D;240717;000000;96071;96281;95304;95404;44656
Eu;D;240718;000000;95386;95763;95172;95506;29980
Eu;D;240719;000000;95500;95923;94760;94982;49315
Eu;D;240722;000000;94926;95534;94813;95499;21676
Eu;D;240723;000000;95413;95455;94117;94244;36799
Eu;D;240724;000000;94245;94245;93501;93501;38077
Eu;D;240725;000000;93591;93591;92564;93099;57654
Eu;D;240726;000000;93098;94499;92895;94237;60586
Eu;D;240729;000000;94210;94277;92910;93232;47637
Eu;D;240730;000000;93222;93902;93153;93670;27196
Eu;D;240731;000000;93669;93943;92534;92665;45820
Eu;D;240801;000000;92753;93034;91847;92057;37696
Eu;D;240802;000000;92020;93243;91721;93191;59617
Eu;D;240805;000000;93195;93645;92204;93165;62055
Eu;D;240806;000000;93145;93523;92437;93437;41789
Eu;D;240807;000000;93498;93581;92995;93349;34970
Eu;D;240808;000000;93407;94279;93359;93922;84102
Eu;D;240809;000000;93958;94598;93757;93952;51069
Eu;D;240812;000000;93960;96958;93760;96566;99545
Eu;D;240813;000000;96739;98047;96365;98029;92422
Eu;D;240814;000000;98047;98654;96114;96285;61988
Eu;D;240815;000000;96200;96918;95761;96232;34419
Eu;D;240816;000000;96259;97046;96075;96952;33608
Eu;D;240819;000000;96989;97800;96884;97659;29298
Eu;D;240820;000000;97659;98742;97257;98725;27064
Eu;D;240821;000000;98710;99175;98100;98711;35877
Eu;D;240822;000000;98792;98792;96591;97000;118287
Eu;D;240823;000000;97036;98598;96814;98473;109893
Eu;D;240826;000000;98522;99499;97890;98975;86174
Eu;D;240827;000000;98899;99692;98581;99575;54890
Eu;D;240828;000000;99451;99749;98410;98925;57417
Eu;D;240829;000000;98989;99534;98649;99267;98108
Eu;D;240830;000000;99339;100095;98724;98848;59449
