<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CNY;D;231221;000000;13.075;13.223;13.037;13.122;4354992
CNY;D;231222;000000;13.121;13.21;13.106;13.148;2734537
CNY;D;231225;000000;13.145;13.162;12.993;12.997;2951800
CNY;D;231226;000000;13.004;13.084;12.961;13.006;2754727
CNY;D;231227;000000;13.01;13.121;12.993;13.061;2984767
CNY;D;231228;000000;13.072;13.087;12.871;12.918;3994085
CNY;D;231229;000000;12.963;12.988;12.778;12.913;2930312
CNY;D;240103;000000;12.945;13.063;12.933;13.035;1241589
CNY;D;240104;000000;13.051;13.054;12.897;12.919;1413897
CNY;D;240105;000000;12.918;12.959;12.86;12.88;1011844
CNY;D;240108;000000;12.88;13.012;12.806;12.981;2150765
CNY;D;240109;000000;12.96;12.964;12.681;12.77;4089532
CNY;D;240110;000000;12.754;12.769;12.646;12.68;3062146
CNY;D;240111;000000;12.697;12.707;12.551;12.553;3312858
CNY;D;240112;000000;12.549;12.552;12.443;12.45;2993284
CNY;D;240115;000000;12.45;12.463;12.335;12.365;2676063
CNY;D;240116;000000;12.37;12.584;12.331;12.374;4084430
CNY;D;240117;000000;12.386;12.506;12.383;12.477;3160479
CNY;D;240118;000000;12.545;12.549;12.456;12.516;2280754
CNY;D;240119;000000;12.529;12.536;12.443;12.459;2242103
CNY;D;240122;000000;12.474;12.48;12.349;12.422;2469328
CNY;D;240123;000000;12.427;12.555;12.386;12.539;2547623
CNY;D;240124;000000;12.522;12.567;12.452;12.525;2327695
CNY;D;240125;000000;12.527;12.627;12.492;12.557;5284998
CNY;D;240126;000000;12.59;12.68;12.55;12.673;3228950
CNY;D;240129;000000;12.695;12.707;12.471;12.484;5854346
CNY;D;240130;000000;12.493;12.584;12.439;12.567;5736693
CNY;D;240131;000000;12.577;12.679;12.532;12.67;4728245
CNY;D;240201;000000;12.676;12.759;12.622;12.754;3176596
CNY;D;240202;000000;12.751;12.815;12.686;12.728;3679102
CNY;D;240205;000000;12.742;12.822;12.602;12.653;5013471
CNY;D;240206;000000;12.67;12.82;12.669;12.81;2786444
CNY;D;240207;000000;12.785;12.835;12.736;12.821;4064945
CNY;D;240208;000000;12.82;12.839;12.672;12.685;3003138
CNY;D;240209;000000;12.711;12.73;12.624;12.679;2434854
CNY;D;240212;000000;12.672;12.732;12.64;12.719;2639222
CNY;D;240213;000000;12.711;12.731;12.662;12.684;2656049
CNY;D;240214;000000;12.691;12.75;12.67;12.739;1963589
CNY;D;240215;000000;12.736;12.875;12.708;12.849;2739436
CNY;D;240216;000000;12.849;12.932;12.765;12.792;5860315
CNY;D;240219;000000;12.851;12.917;12.813;12.894;3828511
CNY;D;240220;000000;12.921;12.927;12.869;12.887;3188801
CNY;D;240221;000000;12.895;12.93;12.861;12.905;2949811
CNY;D;240222;000000;12.905;12.978;12.821;12.958;6619166
CNY;D;240226;000000;12.949;12.952;12.793;12.832;3703949
