<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBRF;D;231222;000000;27686;28400;27669;28357;311205
SBRF;D;231225;000000;28360;28580;28131;28211;227730
SBRF;D;231226;000000;28213;28471;28134;28395;136128
SBRF;D;231227;000000;28410;28447;28215;28246;110124
SBRF;D;231228;000000;28250;28413;27954;28338;157463
SBRF;D;231229;000000;28348;28377;28133;28161;86679
SBRF;D;240103;000000;28200;28559;28150;28531;131421
SBRF;D;240104;000000;28543;28589;28407;28464;74444
SBRF;D;240105;000000;28471;28490;28274;28363;69243
SBRF;D;240108;000000;28359;28741;28324;28680;166985
SBRF;D;240109;000000;28683;28741;28440;28501;110111
SBRF;D;240110;000000;28510;28599;28320;28397;124872
SBRF;D;240111;000000;28404;28596;28339;28513;124728
SBRF;D;240112;000000;28510;28624;28401;28486;101863
SBRF;D;240115;000000;28502;28694;28393;28488;139742
SBRF;D;240116;000000;28474;28545;28272;28484;122671
SBRF;D;240117;000000;28477;28814;28442;28690;225047
SBRF;D;240118;000000;28701;28768;28535;28573;120841
SBRF;D;240119;000000;28576;28631;28156;28284;219917
SBRF;D;240122;000000;28285;28391;28141;28263;115332
SBRF;D;240123;000000;28290;28525;28033;28380;148760
SBRF;D;240124;000000;28385;28398;28080;28130;131329
SBRF;D;240125;000000;28101;28145;27828;27990;163096
SBRF;D;240126;000000;27983;28097;27879;27933;97677
SBRF;D;240129;000000;27953;28160;27922;28080;105116
SBRF;D;240130;000000;28084;28403;28037;28234;147037
SBRF;D;240131;000000;28239;28318;28141;28254;100985
SBRF;D;240201;000000;28257;28440;28234;28338;137426
SBRF;D;240202;000000;28338;28399;28220;28316;98836
SBRF;D;240205;000000;28325;28492;28281;28418;146081
SBRF;D;240206;000000;28408;28520;28325;28494;112361
SBRF;D;240207;000000;28488;29048;28444;29048;266227
SBRF;D;240208;000000;29050;29215;28728;28790;265438
SBRF;D;240209;000000;28810;28977;28705;28904;120181
SBRF;D;240212;000000;28906;29350;28873;29269;200477
SBRF;D;240213;000000;29299;29421;29040;29249;190903
SBRF;D;240214;000000;29250;29580;29177;29417;178001
SBRF;D;240215;000000;29429;29541;29250;29510;137802
SBRF;D;240216;000000;29530;29707;29042;29282;312592
SBRF;D;240219;000000;29297;29459;29134;29351;132904
SBRF;D;240220;000000;29353;29390;28750;28796;258029
SBRF;D;240221;000000;28800;28909;28412;28583;279013
SBRF;D;240222;000000;28600;28822;28512;28799;134717
SBRF;D;240226;000000;28910;29482;28906;29460;225728
SBRF;D;240227;000000;29480;29638;29361;29578;166667
SBRF;D;240228;000000;29593;29725;29305;29462;252194
SBRF;D;240229;000000;29470;29641;29418;29502;111281
SBRF;D;240301;000000;29508;29850;29484;29812;142167
SBRF;D;240304;000000;29839;30223;29815;30159;219457
SBRF;D;240305;000000;30178;30282;29966;30058;208244
SBRF;D;240306;000000;30057;30150;29910;29979;117331
SBRF;D;240307;000000;29961;30217;29873;30198;121609
SBRF;D;240311;000000;30195;30450;30021;30133;212450
SBRF;D;240312;000000;30105;30261;29888;30243;157370
SBRF;D;240313;000000;30243;30285;29961;30012;120925
SBRF;D;240314;000000;30001;30025;29585;29677;217371
SBRF;D;240315;000000;29686;30014;29594;29917;149743
SBRF;D;240318;000000;29920;30057;29788;29907;121739
SBRF;D;240319;000000;29902;29958;29418;29556;283288
SBRF;D;240320;000000;30700;30850;30558;30760;145251
SBRF;D;240321;000000;30772;30971;30430;30776;252577
SBRF;D;240322;000000;30772;30888;30300;30482;162155
SBRF;D;240325;000000;30470;30679;30386;30583;131928
SBRF;D;240326;000000;30584;30749;30463;30570;100837
SBRF;D;240327;000000;30587;30680;30501;30679;76255
SBRF;D;240328;000000;30690;31121;30688;31079;194523
SBRF;D;240329;000000;31082;31190;30926;31050;125115
SBRF;D;240401;000000;31061;31345;31061;31180;155906
SBRF;D;240402;000000;31186;31249;31003;31175;112306
SBRF;D;240403;000000;31175;31878;31160;31848;237466
SBRF;D;240404;000000;31850;31899;31552;31582;170041
SBRF;D;240405;000000;31588;31768;31466;31712;107473
SBRF;D;240408;000000;31754;31968;31705;31852;140500
SBRF;D;240409;000000;31858;32024;31610;31742;185503
